complete_name,F1v,N1,N2,N3,N4,LSC,T1,C1,C2,L1,L2,L3,density,cls_coef
S1F0,0.027624905760442395,0.036979176251479895,0.011349771266732901,0.0231122351957809,0.04567278521136997,0.00535364142454231,0.02899220973051575,0.015772914638838998,0.042607001813121395,0.020722689888393764,0.02096950435813949,0.03810921739649942,0.02986656570285684,0.0871915660065394
S1F1,0.13047668015162178,0.09720986560188993,0.0178957640888655,0.0624185577726209,0.12481007769751395,0.005963416252466769,0.07944205543433308,0.0649963444529764,0.16188548489821739,0.05871640119236221,0.0551306859793497,0.12974034062886497,0.03946902193165214,0.11636519067603308
S1F2,0.2107774084461616,0.04900355853945049,0.007643775345143801,0.04026673561441879,0.15016637966444624,0.001828825646995269,0.043062816635709766,0.1794853582929191,0.3803617133645114,0.05451082977873356,0.039274771436521194,0.20955219251211088,0.031131462839394053,0.1267802213636053
S1F3,0.26103501576127197,0.03772875865366937,0.0113875380868141,0.02295661116743089,0.17417835980542062,0.028916898845056438,0.0776510559897115,0.3997307825565567,0.6631956969852807,0.06354769786391123,0.0024787827240524973,0.4131984645095868,0.013755772155322865,0.1297899006310732
S2A0,0.0031986953062770954,0.00937878870977038,0.005610422323269998,0.0143368268020162,0.0022495587710129605,0.001522648622824474,0.014190773896781528,0.0051732676597738,0.013944027214143801,0.0035097698876263017,0.0009041598915680016,0.008731331500451467,0.0012967822157052833,0.011761479914772499
S2A1,0.002717432834285695,0.018834144184980195,0.007133938935315401,0.01835222160230071,0.012569390631356203,0.0011729548778727228,0.021413972138578152,0.0154539162670321,0.0414428725647066,0.0010630490556543526,0.002513062054163101,0.007680478647093203,0.003792269110366342,0.012659441283788202
S2A10,0.012010735297484004,0.09588011196669341,0.0007847849799807998,0.0644948187621858,0.0866480562222477,0.03601639646647525,0.08508811838614058,0.04310489006331891,0.0545885159054853,0.032755652588437045,0.05680041888501271,0.0955356015257508,0.01755272563342214,0.032810782518689595
S2A11,0.0113608152647902,0.09040514819889492,0.0018933032804753,0.05993273565652271,0.12455220543287204,0.045075093650400855,0.0780543768847415,0.011906259620035942,0.013199183344455467,0.025795952849962278,0.0523060217600827,0.17485513019930432,0.013523808813046045,0.034784305056244
S2A2,0.0032631146933540037,0.0211666702869866,0.007750007502898601,0.018037513794718907,0.002478939039053496,0.001158255835323474,0.021757602501757012,0.0294058850217218,0.0777741510270576,0.003357735079491442,0.003477427265473204,0.002868773484825171,0.007573532129601435,0.0138608719877138
S2A3,0.004641401077096395,0.03698006755876948,0.004238767638105101,0.02353271935108181,0.018846545280741034,0.003561732276927798,0.034157538160071804,0.0418389931513553,0.1084593263599036,0.0050117618704585976,0.015208903858744877,0.00046104073755959263,0.010827600912453605,0.015069990198261001
S2A4,0.004529806953997399,0.05270437695874802,0.006743321958811402,0.03446788558237021,0.006945853735636054,0.005772456642283652,0.0474929164740997,0.0550395336461817,0.1384026594672731,0.012649261379619858,0.0273479364636659,0.01372497273859119,0.013932488985494151,0.016654173074435202
S2A5,0.0056876760912040955,0.0829754517109132,0.0035049306108440002,0.052805585901570196,0.027258568567118613,0.010036117790604648,0.07118785015844009,0.07264309945118749,0.1694431740233485,0.02040950309052325,0.039647503253387506,0.0015666184264041538,0.018261786898873145,0.019723283404554
S2A6,0.009309201658625699,0.08688063677306529,0.006609716970739199,0.05297248064839011,0.04290767132183804,0.00785894132880427,0.0756949684074085,0.0821524036939463,0.17289173056224827,0.021680700132891584,0.04036108630558599,0.014759624160390783,0.022157918062354343,0.0226338249768553
S2A7,0.0117046705681573,0.10817043793989642,3.1508323043400593e-05,0.0764354338349337,0.043839353645288126,0.028027137631297605,0.09644300170363052,0.0847143066818963,0.15777694511377,0.027524867512599305,0.0471981304268045,0.005262104959594227,0.02348643689107588,0.025762685994775804
S2A8,0.012958781401296901,0.11254334432990507,0.0030280203232517008,0.0743299677959545,0.06248800143980726,0.03997811971321252,0.09726823462121117,0.07364532760619802,0.12191863370574368,0.02972362606664747,0.05308961099802781,0.021712438511066856,0.02133188711673306,0.028407373896610105
S2A9,0.011528199401579002,0.11370844727840157,0.0037164391858243006,0.07820623030250949,0.08673338376178918,0.047306223913475054,0.1028750900429562,0.06673446670840333,0.09751751473994008,0.03489596938552608,0.059564223094752594,0.05797884301056844,0.020645470642677743,0.030601645048843502
S3A0,0.0031986953062770954,0.00937878870977038,0.005610422323269998,0.0143368268020162,0.011921853414967765,0.001522648622824474,0.014392671736474627,0.0051732676597738,0.013944027214143801,0.003509355893389521,0.0009041598915680016,0.009487198288840815,0.0012967822157052833,0.011761479914772499
S3A1,0.002717432834285695,0.018834144184980195,0.007133938935315401,0.01835222160230071,0.013863504979300001,0.0011729548778727228,0.02162339064279717,0.0154539162670321,0.0414428725647066,0.001063143707344949,0.002513062054163101,0.009620490066502119,0.003792269110366342,0.012659441283788202
S3A10,0.012010735297484101,0.09588011196669341,0.0007847849799807998,0.0644948187621858,0.0991017966347506,0.03601639646647525,0.08529001622583368,0.04310489006331891,0.0545885159054853,0.03275563040950269,0.05680041888501271,0.09989462668921434,0.01755272563342214,0.032810782518689595
